,Номенклатура,Цена,Количество,Сумма,total чека,Дата покупки,retailPlace,retailPlaceAddress,organization-name,organization-inn,seller-name,seller-inn,Полный чек (http://jsonviewer.stack.hu/),qr-code (single),qr-code,added_user_id,id категории
,СОЛНЕЧНЫЙ СВЕТ БОМБА Д/ВАННЫ С СЮРПРИЗОМ ИСПОЛНЕНИЕ ЖЕЛАНИЙ АРОМАТ NINA RICCI 140Г.,91,1,91,759,2021-09-17 15:27,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '615280ca6c74136650fe2932', 'kind': 'kkt', 'createdAt': '2021-10-03T19:05:55+03:00', 'statusDescription': {}, 'qr': 't=20210917T1527&s=759.00&fn=9280440301480695&i=8756&fp=1967102494&n=1', 'operation': {'date': '2021-09-17T15:27', 'type': 1, 'sum': 75900}, 'process': [{'time': '2021-09-28T02:41:16+00:00', 'result': 30}, {'time': '2021-09-28T12:15:20+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 75900, 'documentId': 8756, 'fsId': '9280440301480695', 'fiscalSign': '1967102494', 'date': '2021-09-17T15:27'}, 'ticket': {'document': {'receipt': {'dateTime': 1631881620, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 75900, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8756, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 1967102494, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'СОЛНЕЧНЫЙ СВЕТ БОМБА Д/ВАННЫ С СЮРПРИЗОМ ИСПОЛНЕНИЕ ЖЕЛАНИЙ АРОМАТ NINA RICCI 140Г.', 'nds': 1, 'ndsSum': 0, 'paymentType': 4, 'price': 9100, 'productType': 1, 'quantity': 1, 'sum': 9100}, {'name': 'КАФЕ КРАСОТЫ ДЕТ.ДЕСЕРТЫ БУРЛЯЩИЙ ШАР С СЮРПРИЗОМ БАНАН ШОК. 120МЛ.', 'nds': 1, 'ndsSum': 0, 'paymentType': 4, 'price': 11800, 'productType': 1, 'quantity': 1, 'sum': 11800}, {'name': 'СОЛНЕЧНЫЙ СВЕТ БОМБА Д/ВАННЫ С СЮРПРИЗОМ СЧАСТЛИВЫЙ СЛУЧАЙ 140Г.', 'nds': 1, 'ndsSum': 0, 'paymentType': 4, 'price': 9100, 'productType': 1, 'quantity': 1, 'sum': 9100}, {'name': 'КАФЕ КРАСОТЫ БУРЛЯЩ. ШАР Д/ВАННЫ СМОРОДИН. СОРБЕТ 100Г./120Г.', 'nds': 1, 'ndsSum': 0, 'paymentType': 4, 'price': 7600, 'productType': 1, 'quantity': 1, 'sum': 7600}, {'name': 'КАФЕ КРАСОТЫ БУРЛЯЩ. ШАР Д/ВАННЫ ПЕРСИКОВЫЙ СОРБЕТ 100Г./120Г.', 'nds': 1, 'ndsSum': 0, 'paymentType': 4, 'price': 7600, 'productType': 1, 'quantity': 1, 'sum': 7600}, {'name': 'КАФЕ МИМИ ГЕЙЗЕР Д/ВАННЫ ЦИТРУСОВАЯ МЕРЕНГА 90Г. [CAFE MIMI]', 'nds': 1, 'ndsSum': 0, 'paymentType': 4, 'price': 7700, 'productType': 1, 'quantity': 1, 'sum': 7700}, {'name': 'СОЛНЕЧНЫЙ СВЕТ БОМБА Д/ВАННЫ С СЮРПРИЗОМ ЖЕЛАЮ СЧАСТЬЯ АРОМАТ ANGEL 140Г.', 'nds': 1, 'ndsSum': 0, 'paymentType': 4, 'price': 9100, 'productType': 1, 'quantity': 1, 'sum': 9100}, {'name': 'ГЛИЦЕЛАКС 750МГ. №10 СУПП. РЕКТ. Д/ДЕТЕЙ /МОСФАРМА/', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 13900, 'productType': 1, 'productCodeData': {'gtin': 4601429002383, 'rawProductCode': '444D042F5A8A888F33395034413231353254434231', 'productIdType': 6, 'sernum': '39P4A2152TCB1'}, 'quantity': 1, 'sum': 13900}], 'kktRegId': '0004067186040429    ', 'nds10': 1264, 'nds18': 10335, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'properties': {'propertyName': 'mdlp', 'propertyValue': 'sid00000000239392&'}, 'provisionSum': 0, 'requestNumber': 49, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 68, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 75900, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210917T152700&s=759.00&fn=9280440301480695&i=8756&fp=1967102494&n=1,t=20210917T152700&s=759.00&fn=9280440301480695&i=8756&fp=1967102494&n=1,,
,КАФЕ КРАСОТЫ ДЕТ.ДЕСЕРТЫ БУРЛЯЩИЙ ШАР С СЮРПРИЗОМ БАНАН ШОК. 120МЛ.,118,1,118,759,2021-09-17 15:27,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T152700&s=759.00&fn=9280440301480695&i=8756&fp=1967102494&n=1,,
,СОЛНЕЧНЫЙ СВЕТ БОМБА Д/ВАННЫ С СЮРПРИЗОМ СЧАСТЛИВЫЙ СЛУЧАЙ 140Г.,91,1,91,759,2021-09-17 15:27,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T152700&s=759.00&fn=9280440301480695&i=8756&fp=1967102494&n=1,,
,КАФЕ КРАСОТЫ БУРЛЯЩ. ШАР Д/ВАННЫ СМОРОДИН. СОРБЕТ 100Г./120Г.,76,1,76,759,2021-09-17 15:27,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T152700&s=759.00&fn=9280440301480695&i=8756&fp=1967102494&n=1,,
,КАФЕ КРАСОТЫ БУРЛЯЩ. ШАР Д/ВАННЫ ПЕРСИКОВЫЙ СОРБЕТ 100Г./120Г.,76,1,76,759,2021-09-17 15:27,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T152700&s=759.00&fn=9280440301480695&i=8756&fp=1967102494&n=1,,
,КАФЕ МИМИ ГЕЙЗЕР Д/ВАННЫ ЦИТРУСОВАЯ МЕРЕНГА 90Г. [CAFE MIMI],77,1,77,759,2021-09-17 15:27,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T152700&s=759.00&fn=9280440301480695&i=8756&fp=1967102494&n=1,,
,СОЛНЕЧНЫЙ СВЕТ БОМБА Д/ВАННЫ С СЮРПРИЗОМ ЖЕЛАЮ СЧАСТЬЯ АРОМАТ ANGEL 140Г.,91,1,91,759,2021-09-17 15:27,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T152700&s=759.00&fn=9280440301480695&i=8756&fp=1967102494&n=1,,
,ГЛИЦЕЛАКС 750МГ. №10 СУПП. РЕКТ. Д/ДЕТЕЙ /МОСФАРМА/,139,1,139,759,2021-09-17 15:27,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T152700&s=759.00&fn=9280440301480695&i=8756&fp=1967102494&n=1,,
,"БАЙКАЛ 1977 0,5л пэт",54,1,54,122,2021-10-03 20:45,магазин,"630090, Новосибирск г, Пирогова ул, д 26",ИП Лукашов Борис Борисович,544590639354,ИП Лукашов Борис Борисович,544590639354,"{'status': 2, 'id': '615ac53473359506282aca16', 'kind': 'kkt', 'createdAt': '2021-10-04T12:11:42+03:00', 'statusDescription': {}, 'qr': 't=20211003T2045&s=122.00&fn=9960440300895932&i=13654&fp=1541160950&n=1', 'operation': {'date': '2021-10-03T20:45', 'type': 1, 'sum': 12200}, 'process': [{'time': '2021-10-04T09:11:18+00:00', 'last_time': '2021-10-04T09:11:30+00:00', 'count': 2, 'result': 30}, {'time': '2021-10-04T09:11:42+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 12200, 'documentId': 13654, 'fsId': '9960440300895932', 'fiscalSign': '1541160950', 'date': '2021-10-03T20:45'}, 'ticket': {'document': {'receipt': {'dateTime': 1633283100, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 12200, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 13654, 'fiscalDriveNumber': '9960440300895932', 'fiscalSign': 1541160950, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'БАЙКАЛ 1977 0,5л пэт', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 5400, 'productType': 1, 'quantity': 1, 'sum': 5400}, {'name': 'Пепси Кола 0,5 л пэт', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 6800, 'productType': 1, 'quantity': 1, 'sum': 6800}], 'kktRegId': '0002922387056017    ', 'ndsNo': 12200, 'operationType': 1, 'operator': 'КАССИР 02', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 178, 'retailPlace': 'магазин', 'retailPlaceAddress': '630090, Новосибирск г, Пирогова ул, д 26', 'shiftNumber': 53, 'taxationType': 32, 'appliedTaxationType': 32, 'totalSum': 12200, 'user': 'ИП Лукашов Борис Борисович', 'userInn': '544590639354'}}}, 'organization': {'name': 'ИП Лукашов Борис Борисович', 'inn': '544590639354'}, 'seller': {'name': 'ИП Лукашов Борис Борисович', 'inn': '544590639354'}}",t=20211003T2045&s=122.00&fn=9960440300895932&i=13654&fp=1541160950&n=1,t=20211003T2045&s=122.00&fn=9960440300895932&i=13654&fp=1541160950&n=1,,
,"Пепси Кола 0,5 л пэт",68,1,68,122,2021-10-03 20:45,магазин,"630090, Новосибирск г, Пирогова ул, д 26",ИП Лукашов Борис Борисович,544590639354,ИП Лукашов Борис Борисович,544590639354,,,t=20211003T2045&s=122.00&fn=9960440300895932&i=13654&fp=1541160950&n=1,,
,Бананы,"79,99","0,65","51,99","623,77",2021-10-04 13:45,Торговый зал,"630090,Г. НОВОСИБИРСК, УЛ. ТЕРЕШКОВОЙ, 19а","ООО ""Камелот-А""",7017187800,"ООО ""Камелот-А""",7017187800,"{'status': 2, 'id': '615ac5b79e4beb519614654e', 'kind': 'kkt', 'createdAt': '2021-10-04T12:13:27+03:00', 'statusDescription': {}, 'qr': 't=20211004T1345&s=623.77&fn=9280440301294089&i=100314&fp=556229213&n=1', 'operation': {'date': '2021-10-04T13:45', 'type': 1, 'sum': 62377}, 'process': [{'time': '2021-10-04T09:13:27+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 62377, 'documentId': 100314, 'fsId': '9280440301294089', 'fiscalSign': '556229213', 'date': '2021-10-04T13:45'}, 'ticket': {'document': {'receipt': {'dateTime': 1633344300, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 62377, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 100314, 'fiscalDriveNumber': '9280440301294089', 'fiscalSign': 556229213, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Бананы', 'nds': 1, 'ndsSum': 867, 'paymentType': 4, 'price': 7999, 'productType': 1, 'quantity': 0.65, 'sum': 5199}, {'name': 'Макароны Bottega Фетучини 500г', 'nds': 2, 'ndsSum': 273, 'paymentType': 4, 'price': 2999, 'productType': 1, 'quantity': 1, 'sum': 2999}, {'name': 'Соус Кинто ТкемалиКлассик 300г ст/б', 'nds': 1, 'ndsSum': 1582, 'paymentType': 4, 'price': 9489, 'productType': 1, 'quantity': 1, 'sum': 9489}, {'name': 'Виноград Киш-Миш чёрный', 'nds': 2, 'ndsSum': 461, 'paymentType': 4, 'price': 16999, 'productType': 1, 'quantity': 0.298, 'sum': 5066}, {'name': 'Фарш куриный из МРО на подложке охл', 'nds': 2, 'ndsSum': 2540, 'paymentType': 4, 'price': 29978, 'productType': 1, 'quantity': 0.932, 'sum': 27939}, {'name': 'Шампиньоны 300г', 'nds': 2, 'ndsSum': 818, 'paymentType': 4, 'price': 8998, 'productType': 1, 'quantity': 1, 'sum': 8998}, {'name': 'Хлеб Бородино 450г (Восход)', 'nds': 2, 'ndsSum': 244, 'paymentType': 4, 'price': 2687, 'productType': 1, 'quantity': 1, 'sum': 2687}], 'kktRegId': '0001036424046495    ', 'nds10': 4336, 'nds18': 2449, 'operationType': 1, 'operator': 'Кассир: Билалиева А. Д.', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 240, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630090,Г. НОВОСИБИРСК, УЛ. ТЕРЕШКОВОЙ, 19а', 'shiftNumber': 269, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 62377, 'user': 'ООО ""Камелот-А""', 'userInn': '7017187800  '}}}, 'organization': {'name': 'ООО ""Камелот-А""', 'inn': '7017187800'}, 'seller': {'name': 'ООО ""Камелот-А""', 'inn': '7017187800'}}",t=20211004T134500&s=623.77&fn=9280440301294089&i=100314&fp=556229213&n=1,t=20211004T134500&s=623.77&fn=9280440301294089&i=100314&fp=556229213&n=1,,
,Макароны Bottega Фетучини 500г,"29,99",1,"29,99","623,77",2021-10-04 13:45,Торговый зал,"630090,Г. НОВОСИБИРСК, УЛ. ТЕРЕШКОВОЙ, 19а","ООО ""Камелот-А""",7017187800,"ООО ""Камелот-А""",7017187800,,,t=20211004T134500&s=623.77&fn=9280440301294089&i=100314&fp=556229213&n=1,,
,Соус Кинто ТкемалиКлассик 300г ст/б,"94,89",1,"94,89","623,77",2021-10-04 13:45,Торговый зал,"630090,Г. НОВОСИБИРСК, УЛ. ТЕРЕШКОВОЙ, 19а","ООО ""Камелот-А""",7017187800,"ООО ""Камелот-А""",7017187800,,,t=20211004T134500&s=623.77&fn=9280440301294089&i=100314&fp=556229213&n=1,,
,Виноград Киш-Миш чёрный,"169,99","0,298","50,66","623,77",2021-10-04 13:45,Торговый зал,"630090,Г. НОВОСИБИРСК, УЛ. ТЕРЕШКОВОЙ, 19а","ООО ""Камелот-А""",7017187800,"ООО ""Камелот-А""",7017187800,,,t=20211004T134500&s=623.77&fn=9280440301294089&i=100314&fp=556229213&n=1,,
,Фарш куриный из МРО на подложке охл,"299,78","0,932","279,39","623,77",2021-10-04 13:45,Торговый зал,"630090,Г. НОВОСИБИРСК, УЛ. ТЕРЕШКОВОЙ, 19а","ООО ""Камелот-А""",7017187800,"ООО ""Камелот-А""",7017187800,,,t=20211004T134500&s=623.77&fn=9280440301294089&i=100314&fp=556229213&n=1,,
,Шампиньоны 300г,"89,98",1,"89,98","623,77",2021-10-04 13:45,Торговый зал,"630090,Г. НОВОСИБИРСК, УЛ. ТЕРЕШКОВОЙ, 19а","ООО ""Камелот-А""",7017187800,"ООО ""Камелот-А""",7017187800,,,t=20211004T134500&s=623.77&fn=9280440301294089&i=100314&fp=556229213&n=1,,
,Хлеб Бородино 450г (Восход),"26,87",1,"26,87","623,77",2021-10-04 13:45,Торговый зал,"630090,Г. НОВОСИБИРСК, УЛ. ТЕРЕШКОВОЙ, 19а","ООО ""Камелот-А""",7017187800,"ООО ""Камелот-А""",7017187800,,,t=20211004T134500&s=623.77&fn=9280440301294089&i=100314&fp=556229213&n=1,,
,*Филадельфия  с огурцом 4шт Д,156,2,312,838,2021-10-03 17:28,Суши Маке,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУШИ МАКЕ 3""",5407955765,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУШИ МАКЕ 3""",5407955765,"{'status': 2, 'id': '615ae15473359506282ad527', 'kind': 'kkt', 'createdAt': '2021-10-04T14:11:16+03:00', 'statusDescription': {}, 'qr': 't=20211003T1728&s=838.00&fn=9961440300093387&i=3685&fp=189137531&n=1', 'operation': {'date': '2021-10-03T17:28', 'type': 1, 'sum': 83800}, 'process': [{'time': '2021-10-04T11:11:16+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 83800, 'documentId': 3685, 'fsId': '9961440300093387', 'fiscalSign': '189137531', 'date': '2021-10-03T17:28'}, 'ticket': {'document': {'receipt': {'dateTime': 1633271280, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 83800, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 3685, 'fiscalDriveNumber': '9961440300093387', 'fiscalSign': 189137531, 'items': [{'name': '*Филадельфия  с огурцом 4шт Д', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 15600, 'productType': 1, 'quantity': 2, 'sum': 31200}, {'name': '*Магуро Футо Маки 4шт Д', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 10000, 'productType': 1, 'quantity': 1, 'sum': 10000}, {'name': '*Гейша 4шт Д', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 14000, 'productType': 1, 'quantity': 1, 'sum': 14000}, {'name': '*Филадельфия классика 4шт Д', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 15600, 'productType': 1, 'quantity': 1, 'sum': 15600}, {'name': '*Купон Лава Д', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 0, 'productType': 1, 'quantity': 1, 'sum': 0}, {'name': '*Васаби ЗАПАЙКА Д', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 1500, 'productType': 1, 'quantity': 1, 'sum': 1500}, {'name': '*Имбирь ЗАПАЙКА Д', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 1500, 'productType': 1, 'quantity': 1, 'sum': 1500}, {'name': '*Магуро Маки 4шт Д', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 10000, 'productType': 1, 'quantity': 1, 'sum': 10000}, {'name': '*Палочки (автоматическое доб.)', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 0, 'productType': 1, 'quantity': 2, 'sum': 0}, {'name': '*Контейнер 208', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 0, 'productType': 1, 'quantity': 2, 'sum': 0}, {'name': '*Пакет на доставку Д', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 0, 'productType': 1, 'quantity': 1, 'sum': 0}], 'kktRegId': '0002437882057942    ', 'ndsNo': 83800, 'operationType': 1, 'operator': 'Короткова Юлия Сергеевна', 'operatorInn': '382008143211', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 28, 'retailPlace': 'Суши Маке', 'shiftNumber': 83, 'taxationType': 2, 'appliedTaxationType': 2, 'totalSum': 83800, 'user': 'ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУШИ МАКЕ 3""', 'userInn': '5407955765  '}}}, 'organization': {'name': 'ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУШИ МАКЕ 3""', 'inn': '5407955765'}, 'seller': {'name': 'ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУШИ МАКЕ 3""', 'inn': '5407955765'}}",t=20211003T1728&s=838.00&fn=9961440300093387&i=3685&fp=189137531&n=1,t=20211003T1728&s=838.00&fn=9961440300093387&i=3685&fp=189137531&n=1,,
,*Магуро Футо Маки 4шт Д,100,1,100,838,2021-10-03 17:28,Суши Маке,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУШИ МАКЕ 3""",5407955765,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУШИ МАКЕ 3""",5407955765,,,t=20211003T1728&s=838.00&fn=9961440300093387&i=3685&fp=189137531&n=1,,
,*Гейша 4шт Д,140,1,140,838,2021-10-03 17:28,Суши Маке,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУШИ МАКЕ 3""",5407955765,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУШИ МАКЕ 3""",5407955765,,,t=20211003T1728&s=838.00&fn=9961440300093387&i=3685&fp=189137531&n=1,,
,*Филадельфия классика 4шт Д,156,1,156,838,2021-10-03 17:28,Суши Маке,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУШИ МАКЕ 3""",5407955765,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУШИ МАКЕ 3""",5407955765,,,t=20211003T1728&s=838.00&fn=9961440300093387&i=3685&fp=189137531&n=1,,
,*Купон Лава Д,0,1,0,838,2021-10-03 17:28,Суши Маке,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУШИ МАКЕ 3""",5407955765,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУШИ МАКЕ 3""",5407955765,,,t=20211003T1728&s=838.00&fn=9961440300093387&i=3685&fp=189137531&n=1,,
